label,count,percentage,type
PathTraversal,2000,5.84,Web
CredentialStuffing,2000,5.84,Web
Suspicious_Input,1978,5.78,Web
SQL_Injection,1975,5.77,Web
XSS,1963,5.73,Web
Benign,1535,4.48,Web
Malicious_HTTP,1160,3.39,Web
SSRF,913,2.67,Web
Kernel_Exploit,800,2.34,Server
ReverseShell,800,2.34,Server
Malicious_System_Command,800,2.34,Server
Cron_Abuse,800,2.34,Server
Unauthorized_File_Modification,800,2.34,Server
Lateral_Movement,800,2.34,Server
Root_Login_Attempt,800,2.34,Server
Cryptomining,800,2.34,Server
Failed_Login,800,2.34,Server
PrivilegeEscalation,800,2.34,Server
SSH_Login_Attack,800,2.34,Server
Persistence,800,2.34,Server
SSH_BruteForce,800,2.34,Server
Suspicious_Bash_Command,800,2.34,Server
Linux_Malware,800,2.34,Server
Ransomware,800,2.34,Server
Docker_Abuse,800,2.34,Server
Suspicious_Process,800,2.34,Server
PortScanning,800,2.34,Server
Linux_Command_Injection,800,2.34,Server
System_Enumeration,799,2.33,Server
WebShell,798,2.33,Server
FileUpload_Attack,767,2.24,Web
Command_Injection,582,1.7,Web
SSTI,465,1.36,Web
OpenRedirect,324,0.95,Web
XXE,264,0.77,Web
Insecure_Deserialization,116,0.34,Web
Malware,96,0.28,Web
NoSQL_Injection,72,0.21,Web
RCE,72,0.21,Web
LDAP_Injection,71,0.21,Web
BruteForce,51,0.15,Web
GraphQL_Injection,51,0.15,Web
Prototype_Pollution,45,0.13,Web
CRLF_Injection,45,0.13,Web
DDoS,28,0.08,Web
CSRF,28,0.08,Web
XPATH_Injection,18,0.05,Web
Header_Injection,15,0.04,Web
